asset_id,snapshot_date,ensemble_probability,risk_level,top_reason_1,top_reason_2,top_reason_3,top_reason_4,top_reason_5,protective_factor_1,protective_factor_2,protective_factor_3
AST027941,2026-05-25,0.5960391100983389,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0073),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0061),numeric__days_since_maintenance (+0.0059),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007),numeric__condition_usage_risk (-0.0006)
AST031943,2026-05-25,0.5946353178451196,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0058),numeric__maintenance_cost_90d (-0.0006),numeric__initial_condition_score (-0.0003),numeric__maintenance_count_90d (-0.0002)
AST029309,2026-05-25,0.5942054912329515,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0070),numeric__days_since_maintenance (+0.0068),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0016),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007)
AST013039,2026-05-25,0.5932306483801495,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0064),numeric__total_downtime (+0.0062),numeric__maintenance_count (+0.0060),numeric__condition_usage_risk (-0.0006),numeric__maintenance_cost_90d (-0.0005),numeric__asset_age_at_snapshot (-0.0002)
AST016760,2026-05-25,0.5927578256623631,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__total_train_passages (+0.0063),numeric__maintenance_count (+0.0062),numeric__days_since_maintenance (+0.0059),numeric__avg_downtime (+0.0051),numeric__maintenance_cost_90d (-0.0008),numeric__wear_defect_risk (-0.0005),numeric__initial_condition_score (-0.0004)
AST028769,2026-05-25,0.5923996009743042,HIGH,numeric__total_maintenance_cost (+0.0124),numeric__maintenance_count (+0.0067),categorical__station_code_RVKH (+0.0065),numeric__days_since_maintenance (+0.0064),numeric__total_train_passages (+0.0062),numeric__maintenance_cost_90d (-0.0006),numeric__wear_defect_risk (-0.0005),numeric__maintenance_count_90d (-0.0003)
AST040339,2026-05-25,0.591542151080671,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0058),numeric__avg_downtime (-0.0017),numeric__maintenance_count_90d (-0.0004),numeric__wear_defect_risk (-0.0003)
AST037758,2026-05-25,0.5910900496433715,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0064),numeric__maintenance_count (+0.0061),numeric__total_downtime (+0.0057),numeric__maintenance_cost_90d (-0.0007),numeric__maintenance_count_90d (-0.0002),numeric__near_end_of_life (-0.0002)
AST019319,2026-05-25,0.5894720470620073,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__total_downtime (+0.0072),numeric__days_since_maintenance (+0.0068),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007)
AST040813,2026-05-25,0.5894023089986358,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__total_downtime (+0.0071),numeric__total_train_passages (+0.0067),numeric__days_since_maintenance (+0.0065),numeric__maintenance_count (+0.0060),numeric__asset_age_at_snapshot (-0.0011),numeric__condition_decline (-0.0008),numeric__maintenance_cost_90d (-0.0008)
AST023097,2026-05-25,0.5892755054316625,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__days_since_maintenance (+0.0070),numeric__total_downtime (+0.0067),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0060),numeric__asset_age_at_snapshot (-0.0010),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST024931,2026-05-25,0.5889249674169621,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__days_since_maintenance (+0.0080),numeric__total_train_passages (+0.0065),numeric__maintenance_count (+0.0060),numeric__total_downtime (+0.0059),numeric__avg_downtime (-0.0019),numeric__maintenance_count_180d (-0.0012),numeric__condition_usage_risk (-0.0008)
AST025214,2026-05-25,0.5888802304040641,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0071),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0064),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007),numeric__maintenance_cost_90d (-0.0007)
AST038653,2026-05-25,0.588775320252948,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__days_since_maintenance (+0.0065),numeric__total_downtime (+0.0065),numeric__total_train_passages (+0.0065),numeric__maintenance_count (+0.0061),numeric__condition_usage_risk (-0.0008),numeric__maintenance_cost_90d (-0.0006),numeric__asset_age_at_snapshot (-0.0003)
AST027117,2026-05-25,0.5887663565681032,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__days_since_maintenance (+0.0080),numeric__total_train_passages (+0.0068),numeric__total_downtime (+0.0067),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0018),numeric__maintenance_count_180d (-0.0011),numeric__condition_decline (-0.0008)
AST039948,2026-05-25,0.5887609250248371,HIGH,numeric__total_maintenance_cost (+0.0124),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0064),numeric__total_downtime (+0.0060),numeric__maintenance_cost_90d (-0.0004),numeric__near_end_of_life (-0.0002),numeric__initial_condition_score (-0.0002)
AST017331,2026-05-25,0.5886771580667209,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0069),numeric__total_train_passages (+0.0068),numeric__days_since_maintenance (+0.0067),numeric__maintenance_count (+0.0067),numeric__maintenance_count_180d (-0.0010),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST039924,2026-05-25,0.5885314433805111,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__total_downtime (+0.0080),numeric__days_since_maintenance (+0.0069),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0060),numeric__avg_downtime (-0.0016),numeric__life_remaining_ratio (-0.0009),numeric__condition_decline (-0.0008)
AST004615,2026-05-25,0.5883183158123082,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0070),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0059),numeric__condition_usage_risk (-0.0008),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0002)
AST026208,2026-05-25,0.5882919555611684,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0067),numeric__total_downtime (+0.0066),numeric__days_since_maintenance (+0.0064),numeric__condition_decline (-0.0009),numeric__condition_change (-0.0007),numeric__maintenance_cost_90d (-0.0006)
AST029145,2026-05-25,0.5882207558943676,HIGH,numeric__total_maintenance_cost (+0.0124),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0053),numeric__avg_downtime (-0.0017),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0005)
AST025590,2026-05-25,0.5880715681819069,HIGH,numeric__total_maintenance_cost (+0.0124),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0053),numeric__maintenance_cost_90d (-0.0006),numeric__initial_condition_score (-0.0003),numeric__maintenance_count_90d (-0.0002)
AST033575,2026-05-25,0.588066941556671,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0058),numeric__avg_downtime (-0.0018),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0004)
AST036563,2026-05-25,0.5878490439075313,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0072),numeric__days_since_maintenance (+0.0067),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0009),numeric__maintenance_cost_90d (-0.0009)
AST023910,2026-05-25,0.5877708817237006,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0063),numeric__days_since_maintenance (+0.0059),numeric__total_downtime (+0.0055),numeric__avg_downtime (-0.0015),numeric__wear_defect_risk (-0.0006),numeric__maintenance_cost_90d (-0.0006)
AST023935,2026-05-25,0.5877169794012804,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0057),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0002),numeric__near_end_of_life (-0.0002)
AST034827,2026-05-25,0.587698539786057,HIGH,categorical__station_code_VDV (+0.0159),numeric__total_maintenance_cost (+0.0126),numeric__days_since_maintenance (+0.0069),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0066),numeric__avg_downtime (-0.0016),numeric__condition_decline (-0.0008),numeric__maintenance_count_90d (-0.0003)
AST028967,2026-05-25,0.5876816143541665,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0074),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0060),numeric__days_since_maintenance (+0.0060),numeric__avg_downtime (-0.0016),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007)
AST034888,2026-05-25,0.5873721728769998,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__days_since_maintenance (+0.0080),categorical__station_code_VGM (+0.0073),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__avg_downtime (-0.0019),numeric__maintenance_count_180d (-0.0011),numeric__maintenance_cost_90d (-0.0006)
AST030676,2026-05-25,0.5873529400071575,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0053),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0002),numeric__near_end_of_life (-0.0002)
AST024836,2026-05-25,0.5873474947569763,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0071),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0064),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007),numeric__maintenance_cost_90d (-0.0006)
AST026363,2026-05-25,0.5870332668655713,HIGH,numeric__total_maintenance_cost (+0.0112),numeric__days_since_maintenance (+0.0068),numeric__total_train_passages (+0.0068),numeric__total_downtime (+0.0067),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007)
AST020854,2026-05-25,0.5870203942236113,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__total_downtime (+0.0070),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0067),numeric__days_since_maintenance (+0.0059),numeric__condition_decline (-0.0010),numeric__maintenance_cost_90d (-0.0008),numeric__condition_change (-0.0007)
AST001310,2026-05-25,0.5869980271217695,HIGH,numeric__total_maintenance_cost (+0.0126),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0065),numeric__total_downtime (+0.0064),numeric__maintenance_count_180d (-0.0010),numeric__condition_decline (-0.0008),numeric__maintenance_cost_90d (-0.0008)
AST039268,2026-05-25,0.5866450290788517,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0074),numeric__days_since_maintenance (+0.0068),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0016),numeric__condition_decline (-0.0010),numeric__maintenance_cost_90d (-0.0008)
AST021630,2026-05-25,0.586627497699928,HIGH,numeric__total_maintenance_cost (+0.0122),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0064),numeric__maintenance_count (+0.0062),numeric__total_downtime (+0.0061),numeric__condition_usage_risk (-0.0005),numeric__maintenance_cost_90d (-0.0005),numeric__maintenance_count_90d (-0.0002)
AST033895,2026-05-25,0.5866257978432539,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__maintenance_count (+0.0075),numeric__total_train_passages (+0.0063),numeric__total_downtime (+0.0052),numeric__avg_downtime (+0.0051),numeric__days_since_maintenance (-0.0018),numeric__maintenance_cost_90d (-0.0006),numeric__wear_defect_risk (-0.0005)
AST035193,2026-05-25,0.5865881704915455,HIGH,numeric__total_maintenance_cost (+0.0123),numeric__days_since_maintenance (+0.0067),numeric__maintenance_count (+0.0067),numeric__total_train_passages (+0.0065),numeric__total_downtime (+0.0058),numeric__maintenance_count_180d (-0.0010),numeric__maintenance_cost_90d (-0.0006),numeric__maintenance_count_90d (-0.0003)
AST032353,2026-05-25,0.5864259786265362,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0070),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0060),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0009),numeric__condition_change (-0.0007)
AST040843,2026-05-25,0.5862104181824472,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0070),numeric__total_train_passages (+0.0067),numeric__days_since_maintenance (+0.0060),numeric__maintenance_count (+0.0060),numeric__avg_downtime (-0.0017),numeric__life_remaining_ratio (-0.0010),numeric__condition_decline (-0.0008)
AST012115,2026-05-25,0.5860745024369065,HIGH,numeric__total_maintenance_cost (+0.0130),numeric__total_downtime (+0.0075),numeric__maintenance_count (+0.0070),numeric__total_train_passages (+0.0068),numeric__days_since_maintenance (+0.0059),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007),numeric__condition_usage_risk (-0.0007)
AST024771,2026-05-25,0.5860641494842433,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0067),numeric__total_downtime (+0.0066),numeric__days_since_maintenance (+0.0059),numeric__condition_decline (-0.0008),numeric__condition_change (-0.0007),numeric__maintenance_cost_90d (-0.0006)
AST026824,2026-05-25,0.5859648193177055,HIGH,numeric__total_maintenance_cost (+0.0125),numeric__days_since_maintenance (+0.0066),numeric__total_train_passages (+0.0065),numeric__maintenance_count (+0.0061),numeric__total_downtime (+0.0061),numeric__condition_usage_risk (-0.0007),numeric__maintenance_cost_90d (-0.0006),numeric__asset_age_at_snapshot (-0.0003)
AST001928,2026-05-25,0.5856574798158893,HIGH,numeric__total_maintenance_cost (+0.0120),numeric__maintenance_count (+0.0066),numeric__total_train_passages (+0.0065),numeric__days_since_maintenance (+0.0057),numeric__total_downtime (+0.0053),numeric__maintenance_cost_90d (-0.0007),numeric__initial_condition_score (-0.0004),numeric__condition_usage_risk (-0.0001)
AST029441,2026-05-25,0.5855530976351534,HIGH,numeric__total_maintenance_cost (+0.0128),numeric__total_downtime (+0.0074),numeric__days_since_maintenance (+0.0069),numeric__total_train_passages (+0.0068),numeric__maintenance_count (+0.0061),numeric__avg_downtime (-0.0016),numeric__condition_decline (-0.0008),numeric__condition_usage_risk (-0.0008)
AST005343,2026-05-25,0.5855134345548878,HIGH,numeric__total_maintenance_cost (+0.0105),numeric__maintenance_count (+0.0062),numeric__total_train_passages (+0.0052),numeric__total_downtime (+0.0049),numeric__avg_downtime (+0.0042),numeric__days_since_maintenance (-0.0019),numeric__life_remaining_ratio (-0.0009),numeric__asset_age_at_snapshot (-0.0006)
AST029932,2026-05-25,0.5855118831148562,HIGH,numeric__total_maintenance_cost (+0.0131),numeric__total_downtime (+0.0070),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0066),numeric__days_since_maintenance (+0.0059),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0008),numeric__maintenance_cost_90d (-0.0008)
AST033316,2026-05-25,0.5854731806453222,HIGH,numeric__total_maintenance_cost (+0.0105),numeric__maintenance_count (+0.0070),numeric__total_downtime (+0.0068),numeric__total_train_passages (+0.0055),numeric__avg_downtime (+0.0044),numeric__maintenance_cost_180d (-0.0027),numeric__days_since_maintenance (-0.0020),numeric__condition_decline (-0.0009)
AST024686,2026-05-25,0.5854482694529464,HIGH,numeric__total_maintenance_cost (+0.0129),numeric__total_downtime (+0.0071),numeric__days_since_maintenance (+0.0069),numeric__total_train_passages (+0.0067),numeric__maintenance_count (+0.0066),numeric__avg_downtime (-0.0017),numeric__condition_decline (-0.0010),numeric__condition_change (-0.0007)
AST015875,2026-05-25,0.5854049768119278,HIGH,numeric__total_maintenance_cost (+0.0108),numeric__maintenance_count (+0.0063),numeric__total_downtime (+0.0057),numeric__total_train_passages (+0.0052),numeric__maintenance_cost_365d (+0.0044),numeric__days_since_maintenance (-0.0019),numeric__life_remaining_ratio (-0.0010),numeric__condition_decline (-0.0008)
