asset_id,snapshot_date,actual,predicted_probability,predicted_class,risk_probability,risk_level,risk_score,recommended_action
AST027697,2026-05-25,0,0.5572300335029815,1,0.5572300335029815,HIGH,55.72,Schedule inspection within 7 days
AST027698,2026-05-25,0,0.4067158422962832,0,0.4067158422962832,HIGH,40.67,Schedule inspection within 7 days
AST027699,2026-05-25,0,0.4884455679703878,0,0.4884455679703878,HIGH,48.84,Schedule inspection within 7 days
AST027700,2026-05-25,0,0.6302893196555073,1,0.6302893196555073,CRITICAL,63.03,Immediate inspection
AST027701,2026-05-25,0,0.4795942384048031,0,0.4795942384048031,HIGH,47.96,Schedule inspection within 7 days
AST027702,2026-05-25,0,0.192911138848184,0,0.192911138848184,LOW,19.29,Routine monitoring
AST027703,2026-05-25,0,0.2415979275204331,0,0.2415979275204331,MEDIUM,24.16,Monitor asset condition
AST027712,2026-05-25,0,0.240182373697844,0,0.240182373697844,MEDIUM,24.02,Monitor asset condition
AST027705,2026-05-25,0,0.5828410344812724,1,0.5828410344812724,HIGH,58.28,Schedule inspection within 7 days
AST027706,2026-05-25,1,0.5988381476397389,1,0.5988381476397389,HIGH,59.88,Schedule inspection within 7 days
AST027707,2026-05-25,0,0.6239080942642994,1,0.6239080942642994,CRITICAL,62.39,Immediate inspection
AST027708,2026-05-25,0,0.5901976522431313,1,0.5901976522431313,HIGH,59.02,Schedule inspection within 7 days
AST027709,2026-05-25,0,0.0023858448618806,0,0.0023858448618806,LOW,0.24,Routine monitoring
AST027710,2026-05-25,0,0.0011424410757846,0,0.0011424410757846,LOW,0.11,Routine monitoring
AST027711,2026-05-25,0,0.2262698502563346,0,0.2262698502563346,MEDIUM,22.63,Monitor asset condition
AST027696,2026-05-25,0,0.6256066989340405,1,0.6256066989340405,CRITICAL,62.56,Immediate inspection
AST027704,2026-05-25,0,0.4106551523339968,0,0.4106551523339968,HIGH,41.07,Schedule inspection within 7 days
AST027695,2026-05-25,0,0.5147876193069083,1,0.5147876193069083,HIGH,51.48,Schedule inspection within 7 days
AST027685,2026-05-25,0,0.2697447600386394,0,0.2697447600386394,MEDIUM,26.97,Monitor asset condition
AST027693,2026-05-25,0,0.4869496835789851,0,0.4869496835789851,HIGH,48.69,Schedule inspection within 7 days
AST027676,2026-05-25,0,0.4501107035862887,0,0.4501107035862887,HIGH,45.01,Schedule inspection within 7 days
AST027677,2026-05-25,0,0.0016920207552563,0,0.0016920207552563,LOW,0.17,Routine monitoring
AST027678,2026-05-25,1,0.5539721113000882,1,0.5539721113000882,HIGH,55.4,Schedule inspection within 7 days
AST027679,2026-05-25,0,0.4975009882005831,0,0.4975009882005831,HIGH,49.75,Schedule inspection within 7 days
AST027680,2026-05-25,0,0.5892464808943264,1,0.5892464808943264,HIGH,58.92,Schedule inspection within 7 days
AST027681,2026-05-25,1,0.6852628443656741,1,0.6852628443656741,CRITICAL,68.53,Immediate inspection
AST027682,2026-05-25,0,0.2138242979632886,0,0.2138242979632886,MEDIUM,21.38,Monitor asset condition
AST027694,2026-05-25,0,0.5999580467375916,1,0.5999580467375916,HIGH,60.0,Schedule inspection within 7 days
AST027683,2026-05-25,0,0.4979888583063929,0,0.4979888583063929,HIGH,49.8,Schedule inspection within 7 days
AST027686,2026-05-25,0,0.597015166856271,1,0.597015166856271,HIGH,59.7,Schedule inspection within 7 days
AST027687,2026-05-25,0,0.5658911768906622,1,0.5658911768906622,HIGH,56.59,Schedule inspection within 7 days
AST027688,2026-05-25,0,0.5078817194084357,1,0.5078817194084357,HIGH,50.79,Schedule inspection within 7 days
AST027689,2026-05-25,0,0.0007353804075471,0,0.0007353804075471,LOW,0.07,Routine monitoring
AST027690,2026-05-25,0,0.6079677545891186,1,0.6079677545891186,CRITICAL,60.8,Immediate inspection
